epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1591.08,0.23762,0.67825,0.84994,0.77833,0.95625,0.86848,0.86306,0.18277,0.50854,0.78715,9.8683e-05,9.8683e-05,9.8683e-05
75,1612.12,0.23139,0.67324,0.84571,0.76738,0.97953,0.88461,0.88006,0.18576,0.49855,0.78794,9.8254e-05,9.8254e-05,9.8254e-05
76,1634.52,0.23774,0.65901,0.85211,0.78114,0.96769,0.87427,0.86921,0.18076,0.50093,0.786,9.7825e-05,9.7825e-05,9.7825e-05
77,1655.81,0.23243,0.64674,0.84495,0.78243,0.9647,0.87862,0.87155,0.19047,0.50821,0.79062,9.7396e-05,9.7396e-05,9.7396e-05
78,1676.91,0.23309,0.64841,0.84745,0.77398,0.97656,0.87337,0.86821,0.17898,0.50889,0.78571,9.6967e-05,9.6967e-05,9.6967e-05
79,1698.09,0.23132,0.63369,0.84377,0.78364,0.97615,0.87226,0.86655,0.18504,0.49131,0.78903,9.6538e-05,9.6538e-05,9.6538e-05
80,1719.49,0.2397,0.64612,0.85214,0.78185,0.95775,0.86828,0.86402,0.18318,0.48654,0.78943,9.6109e-05,9.6109e-05,9.6109e-05
81,1741.09,0.23307,0.63523,0.84607,0.77975,0.964,0.87374,0.86885,0.18901,0.50674,0.78847,9.568e-05,9.568e-05,9.568e-05
82,1762.09,0.22957,0.64619,0.85158,0.77005,0.97613,0.86724,0.85996,0.18632,0.51014,0.78896,9.5251e-05,9.5251e-05,9.5251e-05
83,1783.91,0.23387,0.64031,0.84578,0.76382,0.97632,0.86685,0.86184,0.17944,0.50843,0.78564,9.4822e-05,9.4822e-05,9.4822e-05
84,1805.21,0.23329,0.63397,0.84653,0.77224,0.96153,0.87242,0.86854,0.17406,0.49433,0.78451,9.4393e-05,9.4393e-05,9.4393e-05
85,1825.8,0.22612,0.62063,0.83871,0.7656,0.9656,0.86494,0.86034,0.17992,0.50936,0.78601,9.3964e-05,9.3964e-05,9.3964e-05
86,1846.97,0.22948,0.61529,0.84276,0.77218,0.96179,0.88097,0.87641,0.17913,0.50908,0.78602,9.3535e-05,9.3535e-05,9.3535e-05
87,1868.3,0.22971,0.61466,0.84489,0.75857,0.96097,0.87713,0.87108,0.18377,0.50312,0.78783,9.3106e-05,9.3106e-05,9.3106e-05
88,1889.13,0.22845,0.60751,0.84237,0.77834,0.97128,0.87916,0.87387,0.17609,0.48497,0.78698,9.2677e-05,9.2677e-05,9.2677e-05
89,1909.64,0.22599,0.61662,0.84208,0.77972,0.96426,0.87585,0.86978,0.18181,0.53419,0.78725,9.2248e-05,9.2248e-05,9.2248e-05
90,1929.89,0.23274,0.60539,0.84782,0.76936,0.97066,0.88263,0.87628,0.1777,0.49732,0.78502,9.1819e-05,9.1819e-05,9.1819e-05
91,1949.93,0.22814,0.59498,0.84326,0.77754,0.97913,0.88838,0.88425,0.17586,0.49845,0.78485,9.139e-05,9.139e-05,9.139e-05
92,1969.98,0.23199,0.60071,0.8472,0.76253,0.97523,0.8778,0.87288,0.18107,0.51872,0.78581,9.0961e-05,9.0961e-05,9.0961e-05
93,1990.68,0.22702,0.59569,0.84571,0.76871,0.98043,0.87555,0.8718,0.17849,0.50514,0.78487,9.0532e-05,9.0532e-05,9.0532e-05
94,2010.38,0.2235,0.60406,0.84255,0.77122,0.97229,0.88529,0.88024,0.17755,0.49809,0.78561,9.0103e-05,9.0103e-05,9.0103e-05
95,2031.14,0.22279,0.58862,0.84255,0.76981,0.96342,0.86503,0.86057,0.17822,0.51458,0.78626,8.9674e-05,8.9674e-05,8.9674e-05
96,2051.79,0.22918,0.58433,0.8426,0.76092,0.97558,0.86652,0.86258,0.17552,0.50482,0.78495,8.9245e-05,8.9245e-05,8.9245e-05
97,2071.97,0.2177,0.56646,0.83992,0.77765,0.97134,0.8787,0.87433,0.17614,0.50207,0.78321,8.8816e-05,8.8816e-05,8.8816e-05
98,2092.78,0.22227,0.57293,0.83753,0.77187,0.97258,0.86813,0.8622,0.17955,0.50045,0.78698,8.8387e-05,8.8387e-05,8.8387e-05
99,2113.2,0.22598,0.58487,0.84791,0.77769,0.9638,0.87098,0.86646,0.17992,0.52534,0.78517,8.7958e-05,8.7958e-05,8.7958e-05
100,2132.14,0.22067,0.56898,0.84287,0.76657,0.96692,0.8719,0.86804,0.17311,0.50546,0.78269,8.7529e-05,8.7529e-05,8.7529e-05
101,2150.99,0.22485,0.55776,0.83864,0.78901,0.94762,0.86481,0.8606,0.18018,0.50283,0.78489,8.71e-05,8.71e-05,8.71e-05
102,2169.87,0.21806,0.55663,0.83993,0.77772,0.97017,0.86963,0.86575,0.17725,0.50432,0.78584,8.6671e-05,8.6671e-05,8.6671e-05
103,2188.88,0.22372,0.56883,0.84207,0.76183,0.97702,0.8733,0.86997,0.17709,0.50019,0.78629,8.6242e-05,8.6242e-05,8.6242e-05
104,2207.88,0.22482,0.55142,0.8425,0.76828,0.97463,0.87587,0.87142,0.17617,0.52103,0.78382,8.5813e-05,8.5813e-05,8.5813e-05
105,2226.77,0.21714,0.56313,0.84082,0.78143,0.96395,0.87637,0.87317,0.17212,0.51476,0.78275,8.5384e-05,8.5384e-05,8.5384e-05
