epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1164.03,0.25706,0.72932,0.86036,0.77392,0.97242,0.87802,0.87109,0.19232,0.50169,0.8007,0.000105976,0.000105976,0.000105976
58,1185.35,0.25434,0.72837,0.86229,0.74089,0.99378,0.88843,0.88145,0.19706,0.50827,0.80273,0.000105547,0.000105547,0.000105547
59,1205.37,0.25521,0.7239,0.86667,0.77395,0.9714,0.8878,0.87964,0.19263,0.51516,0.80039,0.000105118,0.000105118,0.000105118
60,1224.82,0.25297,0.71135,0.86234,0.7833,0.97284,0.88731,0.88087,0.19413,0.50153,0.80141,0.000104689,0.000104689,0.000104689
61,1243.62,0.25246,0.72286,0.85717,0.77452,0.9715,0.88915,0.88274,0.18473,0.51236,0.79814,0.00010426,0.00010426,0.00010426
62,1262.43,0.25058,0.69728,0.85692,0.77509,0.9793,0.88299,0.87671,0.19191,0.48605,0.79899,0.000103831,0.000103831,0.000103831
63,1281.17,0.2549,0.70023,0.8618,0.77651,0.97054,0.88979,0.88245,0.20034,0.51909,0.80394,0.000103402,0.000103402,0.000103402
64,1299.86,0.25545,0.6983,0.86554,0.76708,0.98001,0.87793,0.87045,0.18946,0.51021,0.80022,0.000102973,0.000102973,0.000102973
65,1318.78,0.24973,0.68062,0.85829,0.78254,0.9579,0.8739,0.8693,0.18606,0.49694,0.7975,0.000102544,0.000102544,0.000102544
66,1337.69,0.24132,0.67614,0.85364,0.78185,0.96407,0.88288,0.87761,0.19093,0.49508,0.80005,0.000102115,0.000102115,0.000102115
67,1356.58,0.24773,0.68529,0.85633,0.77534,0.9767,0.88775,0.88066,0.19308,0.49853,0.8006,0.000101686,0.000101686,0.000101686
68,1375.54,0.25074,0.66938,0.85482,0.76252,0.98878,0.88641,0.87953,0.19386,0.47864,0.80184,0.000101257,0.000101257,0.000101257
69,1394.25,0.25369,0.68362,0.86215,0.76733,0.97006,0.87996,0.87447,0.18914,0.51109,0.798,0.000100828,0.000100828,0.000100828
70,1414.08,0.2425,0.65338,0.85772,0.77707,0.9776,0.88929,0.88506,0.18215,0.49746,0.79527,0.000100399,0.000100399,0.000100399
71,1433.82,0.24,0.6634,0.85258,0.78908,0.97407,0.88125,0.87664,0.18416,0.48593,0.79633,9.997e-05,9.997e-05,9.997e-05
72,1452.74,0.24636,0.66171,0.85628,0.77788,0.96903,0.87041,0.86398,0.18606,0.49807,0.79841,9.9541e-05,9.9541e-05,9.9541e-05
73,1471.37,0.24408,0.64934,0.85641,0.78095,0.97097,0.88153,0.87601,0.18854,0.48615,0.79752,9.9112e-05,9.9112e-05,9.9112e-05
74,1490.1,0.24185,0.648,0.85759,0.78277,0.9694,0.88615,0.87993,0.18485,0.48367,0.79688,9.8683e-05,9.8683e-05,9.8683e-05
75,1508.74,0.24259,0.6488,0.85587,0.76312,0.9858,0.8833,0.87764,0.19537,0.49692,0.80041,9.8254e-05,9.8254e-05,9.8254e-05
76,1527.4,0.24173,0.63859,0.859,0.76519,0.98501,0.88096,0.87692,0.17965,0.48553,0.79523,9.7825e-05,9.7825e-05,9.7825e-05
77,1546.46,0.24077,0.62332,0.85331,0.74912,0.98509,0.87452,0.87034,0.18854,0.49951,0.7975,9.7396e-05,9.7396e-05,9.7396e-05
78,1565.26,0.23749,0.62794,0.85346,0.77423,0.97737,0.8902,0.88454,0.18185,0.4877,0.79528,9.6967e-05,9.6967e-05,9.6967e-05
79,1583.95,0.23473,0.61062,0.851,0.76308,0.98569,0.87988,0.87327,0.18184,0.4806,0.79499,9.6538e-05,9.6538e-05,9.6538e-05
80,1602.76,0.24696,0.62184,0.85969,0.78548,0.95663,0.8856,0.88015,0.18646,0.48535,0.7975,9.6109e-05,9.6109e-05,9.6109e-05
81,1621.39,0.23766,0.61028,0.8536,0.77647,0.9755,0.88791,0.88129,0.18336,0.47197,0.79586,9.568e-05,9.568e-05,9.568e-05
82,1640.28,0.23351,0.61959,0.85718,0.77035,0.98235,0.88007,0.87501,0.18531,0.47735,0.79629,9.5251e-05,9.5251e-05,9.5251e-05
83,1659.02,0.23839,0.61526,0.85187,0.77326,0.97357,0.88406,0.87879,0.18231,0.48113,0.79438,9.4822e-05,9.4822e-05,9.4822e-05
84,1677.75,0.24086,0.607,0.85517,0.78542,0.96275,0.88144,0.87636,0.18383,0.48418,0.79672,9.4393e-05,9.4393e-05,9.4393e-05
85,1696.52,0.23555,0.60371,0.84812,0.77768,0.96471,0.89572,0.89095,0.18363,0.49002,0.79652,9.3964e-05,9.3964e-05,9.3964e-05
86,1715.18,0.23556,0.59296,0.8502,0.76567,0.98262,0.8854,0.88051,0.18157,0.49228,0.7957,9.3535e-05,9.3535e-05,9.3535e-05
87,1733.83,0.23561,0.5883,0.8533,0.76931,0.95814,0.87534,0.87129,0.18433,0.49531,0.7954,9.3106e-05,9.3106e-05,9.3106e-05
88,1752.53,0.23541,0.59067,0.85184,0.76346,0.98252,0.88135,0.87491,0.17898,0.48541,0.79524,9.2677e-05,9.2677e-05,9.2677e-05
89,1771.24,0.23319,0.59727,0.84953,0.76039,0.98212,0.8817,0.87747,0.18046,0.48723,0.79478,9.2248e-05,9.2248e-05,9.2248e-05
90,1790.45,0.23899,0.58854,0.85696,0.77922,0.97997,0.88159,0.87552,0.18117,0.47385,0.79516,9.1819e-05,9.1819e-05,9.1819e-05
91,1809.04,0.23295,0.58022,0.85163,0.78005,0.96608,0.87831,0.87419,0.18118,0.47756,0.79503,9.139e-05,9.139e-05,9.139e-05
92,1827.66,0.23427,0.57704,0.85426,0.76876,0.97433,0.87998,0.87552,0.17963,0.47478,0.79516,9.0961e-05,9.0961e-05,9.0961e-05
93,1846.31,0.23588,0.57725,0.854,0.76723,0.97232,0.88445,0.88054,0.17896,0.48041,0.79491,9.0532e-05,9.0532e-05,9.0532e-05
94,1864.93,0.23236,0.58753,0.85031,0.76346,0.98647,0.88936,0.88455,0.18159,0.49497,0.79662,9.0103e-05,9.0103e-05,9.0103e-05
95,1883.62,0.22999,0.56341,0.84862,0.75825,0.97498,0.87892,0.87323,0.18137,0.50412,0.79641,8.9674e-05,8.9674e-05,8.9674e-05
96,1902.4,0.2339,0.56598,0.8486,0.78044,0.96849,0.88996,0.88431,0.18145,0.48266,0.79501,8.9245e-05,8.9245e-05,8.9245e-05
97,1921.1,0.22489,0.54862,0.84877,0.78135,0.96085,0.89219,0.88687,0.18024,0.48516,0.79561,8.8816e-05,8.8816e-05,8.8816e-05
98,1939.85,0.23076,0.55529,0.84666,0.77632,0.96296,0.88985,0.88468,0.18193,0.48239,0.79526,8.8387e-05,8.8387e-05,8.8387e-05
99,1958.11,0.22789,0.56541,0.85362,0.77687,0.96742,0.89383,0.88743,0.18011,0.48738,0.79531,8.7958e-05,8.7958e-05,8.7958e-05
100,1976.55,0.22593,0.55589,0.84892,0.76724,0.97338,0.89345,0.8904,0.17817,0.48493,0.7934,8.7529e-05,8.7529e-05,8.7529e-05
101,1994.85,0.2277,0.54336,0.84559,0.755,0.9887,0.89335,0.88795,0.18029,0.47489,0.79509,8.71e-05,8.71e-05,8.71e-05
102,2013.26,0.22594,0.54646,0.84746,0.77986,0.97388,0.89047,0.88546,0.1798,0.47982,0.79471,8.6671e-05,8.6671e-05,8.6671e-05
103,2031.69,0.22897,0.55539,0.8467,0.76827,0.97766,0.88923,0.8844,0.17742,0.47842,0.79313,8.6242e-05,8.6242e-05,8.6242e-05
104,2050.03,0.23032,0.53935,0.85207,0.77214,0.97539,0.88334,0.87748,0.17954,0.48296,0.79481,8.5813e-05,8.5813e-05,8.5813e-05
105,2068.41,0.22506,0.54432,0.84823,0.76498,0.98123,0.88293,0.87892,0.18282,0.49499,0.79584,8.5384e-05,8.5384e-05,8.5384e-05
106,2087.13,0.22989,0.54746,0.84969,0.77518,0.95377,0.87604,0.87189,0.17402,0.47891,0.79224,8.4955e-05,8.4955e-05,8.4955e-05
107,2105.7,0.22808,0.53489,0.85214,0.75976,0.98141,0.88167,0.87443,0.17848,0.48911,0.79445,8.4526e-05,8.4526e-05,8.4526e-05
108,2124.21,0.22068,0.52581,0.84682,0.76017,0.98363,0.88334,0.87967,0.17855,0.48998,0.79496,8.4097e-05,8.4097e-05,8.4097e-05
109,2142.67,0.22346,0.53843,0.84861,0.74222,0.99192,0.88408,0.88143,0.17469,0.47688,0.79212,8.3668e-05,8.3668e-05,8.3668e-05
110,2161.03,0.22343,0.51746,0.85089,0.76961,0.97034,0.88782,0.88273,0.17744,0.4825,0.79297,8.3239e-05,8.3239e-05,8.3239e-05
111,2179.34,0.22225,0.52971,0.84389,0.76829,0.97661,0.88575,0.88133,0.17625,0.48001,0.79382,8.281e-05,8.281e-05,8.281e-05
112,2197.67,0.23139,0.53121,0.85165,0.7641,0.98035,0.89317,0.88772,0.17782,0.4742,0.79305,8.2381e-05,8.2381e-05,8.2381e-05
113,2218.09,0.22664,0.51243,0.84838,0.76515,0.98042,0.89126,0.88698,0.17615,0.47872,0.79419,8.1952e-05,8.1952e-05,8.1952e-05
114,2236.83,0.22306,0.51455,0.85189,0.78208,0.95035,0.89395,0.89001,0.17208,0.47589,0.7926,8.1523e-05,8.1523e-05,8.1523e-05
115,2255.5,0.22121,0.51998,0.84548,0.772,0.96581,0.89499,0.88955,0.17915,0.49292,0.79375,8.1094e-05,8.1094e-05,8.1094e-05
116,2274.23,0.22424,0.5141,0.84503,0.77971,0.95961,0.89608,0.89202,0.17249,0.46549,0.79206,8.0665e-05,8.0665e-05,8.0665e-05
117,2293.01,0.21922,0.51218,0.8456,0.78133,0.94932,0.88807,0.88379,0.17469,0.48129,0.79208,8.0236e-05,8.0236e-05,8.0236e-05
118,2311.69,0.22449,0.51361,0.84446,0.78172,0.96369,0.88172,0.87741,0.1761,0.48932,0.79321,7.9807e-05,7.9807e-05,7.9807e-05
119,2330.4,0.21914,0.51048,0.84756,0.78814,0.95055,0.87989,0.87553,0.17825,0.48779,0.79413,7.9378e-05,7.9378e-05,7.9378e-05
120,2349.04,0.2219,0.52287,0.8438,0.77238,0.97657,0.89165,0.88731,0.17335,0.49034,0.79145,7.8949e-05,7.8949e-05,7.8949e-05
121,2367.68,0.22074,0.51067,0.8445,0.76766,0.9803,0.88857,0.88382,0.17331,0.46455,0.79158,7.852e-05,7.852e-05,7.852e-05
122,2386.36,0.21884,0.49537,0.84312,0.76285,0.98011,0.89521,0.88849,0.17687,0.4747,0.79468,7.8091e-05,7.8091e-05,7.8091e-05
123,2405.01,0.21569,0.50273,0.84532,0.77443,0.96846,0.88651,0.88295,0.17059,0.48088,0.79102,7.7662e-05,7.7662e-05,7.7662e-05
124,2423.66,0.21759,0.5023,0.84549,0.7899,0.95436,0.89054,0.88593,0.17847,0.48398,0.79345,7.7233e-05,7.7233e-05,7.7233e-05
125,2442.3,0.22532,0.49027,0.84847,0.7609,0.98834,0.88812,0.88246,0.17502,0.47263,0.79199,7.6804e-05,7.6804e-05,7.6804e-05
126,2460.94,0.21727,0.4992,0.84247,0.76343,0.97764,0.8886,0.88463,0.17345,0.47811,0.7922,7.6375e-05,7.6375e-05,7.6375e-05
127,2479.75,0.21957,0.49184,0.84369,0.752,0.98395,0.88315,0.87914,0.17284,0.47969,0.79188,7.5946e-05,7.5946e-05,7.5946e-05
128,2498.44,0.21572,0.48776,0.83992,0.76012,0.98618,0.88718,0.88294,0.17371,0.47713,0.79248,7.5517e-05,7.5517e-05,7.5517e-05
129,2517.19,0.21751,0.48503,0.84134,0.77582,0.96475,0.89415,0.88928,0.17609,0.48444,0.79308,7.5088e-05,7.5088e-05,7.5088e-05
